Line,Voltage
10,112.484575266
11,112.06702177
12,109.638436435
13,111.769761888
14,105.273421233
15,100.729211599
16,105.483305467
17,110.488518177
18,119.127409475
19,104.09101255
0,111.063263149
1,108.821283105
2,117.963295228
3,100.726288787
4,104.728221856
5,113.065899626
6,105.148230553
7,101.269332061
8,102.17583233
9,101.95261239
10,112.31806915
11,111.683157937
12,108.708205549
13,110.962070808
14,104.531785245
15,98.5046778658
16,104.718786424
17,109.995281973
18,118.947317647
19,102.800563699
0,110.820034384
1,107.914261589
2,118.051006003
3,100.112773391
4,103.517461564
5,112.614856674
6,104.326085328
7,100.20904095
8,100.136795566
9,101.999778348
10,111.803110949
11,111.365057733
12,107.834555659
13,110.492990844
14,103.987130501
15,96.3701560958
16,103.323171301
17,109.405984339
18,118.674184951
19,101.10714732
0,110.424328399
1,107.45390001
2,117.809702609
3,98.5621134339
4,103.324275928
5,112.35208197
6,103.699095471
7,99.1636438552
8,99.7003508936
9,100.671381784
10,111.621614165
11,110.454571307
12,107.421904095
13,109.61761077
14,103.381106429
15,94.5963305512
16,102.238683352
17,108.239783423
18,118.558748313
19,100.625863376
0,109.691638453
1,106.318432102
2,117.221051501
3,98.7727248781
4,103.501448788
5,111.553322968
6,102.539434137
7,98.1932029233
8,99.0713642037
9,99.5145146037
10,110.880578057
11,109.697635068
12,106.163589326
13,109.330184634
14,102.850551517
15,94.738725744
16,100.828404379
17,108.23944402
18,118.178844484
19,98.7966768918
0,109.810580943
1,105.376583773
2,116.666749179
3,98.6126312371
4,102.083161774
5,110.605918055
6,101.431966363
7,97.6498995245
8,98.0912278333
9,97.885555206
10,110.080913049
11,108.926012574
12,105.119112406
13,108.422997975
14,102.21478675
15,94.6645440761
16,99.9196955986
17,107.736940905
18,117.850644929
19,96.8127321535
0,108.903447295
1,105.495159085
2,116.205223418
3,98.4660390979
4,101.398409899
5,110.597144975
6,100.189589526
7,96.1591164911
8,96.7084993865
9,97.0192875053
10,109.433245708
11,108.494984439
12,104.150979902
13,107.498284823
14,101.079935553
15,93.9328116655
16,99.6077252471
17,106.870040125
18,117.623626408
19,95.9435327309
0,108.922387081
1,104.837828408
2,115.968663441
3,97.4104260291
4,100.628217829
5,109.638053989
6,99.8593193284
7,94.0015993685
8,95.4835596923
9,96.5014580639
10,108.604880504
11,108.090859448
12,103.159997346
13,106.672966088
14,100.308555321
15,92.1033797165
16,98.8582727159
17,106.839300097
18,117.346457703
19,94.829054481
0,107.990709719
1,104.354117173
2,116.048094201
3,96.1032152709
4,100.050973208
5,109.022292706
6,99.2087043235
7,93.0590651488
8,93.9030735912
9,94.8715452179
10,107.29604235
11,107.446234822
12,102.529862585
13,106.010820519
14,100.131910958
15,89.0538363244
16,96.6847019127
17,106.750547086
18,117.0671655
19,94.524865961
0,107.728301699
1,103.39835516
2,115.889438977
3,95.089136626
4,98.3719249402
5,107.857294965
6,98.2109406715
7,91.4509839801
8,93.1450658499
9,94.7153307116
10,106.87412046
11,106.618511393
12,102.391950663
13,105.159927891
14,99.6107366937
15,87.7476609511
16,96.6193923054
17,105.351777679
18,116.661430329
19,93.7021446772
0,106.963297228
1,102.928122347
2,115.740055886
3,94.0203558862
4,97.3374753791
5,106.980617865
6,97.5154952583
7,89.7200161198
8,91.9201542951
9,92.1661697923
10,105.925680548
11,106.179238759
12,101.854845905
13,105.080296721
14,98.8691015872
15,85.9022156651
16,95.1717730687
17,105.103060757
18,116.346401993
19,92.6772468897
0,106.036615601
1,102.227736084
2,115.231881726
3,92.4286612282
4,95.8924916576
5,106.394833894
6,96.9812730099
7,88.3161878536
8,91.4863018798
9,92.1235602144
10,105.093224191
11,105.360563749
12,101.555731309
13,104.480409943
14,97.0334294626
15,83.5982704117
16,93.9782692523
17,103.928883714
18,115.991336372
19,91.6538589543
0,105.333365186
1,101.814885651
2,114.469660289
3,91.7215616187
4,95.0565452352
5,105.834841232
6,95.4858524866
7,86.6684103269
8,89.8802490814
9,90.687591144
10,104.920263043
11,104.771967257
12,101.081200864
13,104.299940296
14,96.0768909929
15,82.3033384507
16,92.5595050515
17,103.401358706
18,115.649759607
19,90.3488954885
0,104.00284497
1,101.108252703
2,114.045454073
3,90.5667273018
4,93.5909238191
5,105.608944931
6,93.8204075424
7,84.94986542
8,88.488754589
9,89.1961996517
10,104.740449526
11,104.35362713
12,100.817943277
13,103.973046535
14,95.0753962312
15,82.6956336723
16,90.9043849234
17,102.830834258
18,115.403875708
19,88.7581987621
0,103.455347977
1,99.9464946992
2,113.447768671
3,89.2404254839
4,92.7988971928
5,104.325466646
6,91.9987107721
7,82.9735737533
8,87.5989926514
9,88.1030792768
10,105.10523096
11,103.469865067
12,100.039363963
13,103.663601956
14,94.0624188556
15,82.5567529662
16,89.7813200834
17,102.208959512
18,115.102784348
19,86.7838807663
0,102.412088718
1,99.4328295839
2,112.749321327
3,87.8172705145
4,91.2757878841
5,104.011839992
6,90.5238676805
7,81.6497360846
8,87.4542365697
9,86.4383081612
10,104.103674971
11,103.13906893
12,99.6583473654
13,103.110718665
14,92.7482094824
15,81.803313731
16,89.3122482145
17,101.828779879
18,114.985167501
19,85.3785677683
0,101.997717907
1,98.6181902847
2,112.179600616
3,85.6146350477
4,89.998148203
5,103.241236951
6,90.2618551384
7,80.2442131473
8,85.8442534319
9,84.4897568064
10,103.255434093
11,102.276884342
12,99.7767982454
13,102.485776623
14,92.2958180319
15,81.3527629928
16,88.2115532937
17,101.33417297
18,114.550580094
19,84.5039179965
0,101.489848445
1,97.8639383107
2,111.946672119
3,84.4222156945
4,89.2271472344
5,102.780920546
6,89.3860680061
7,79.5682819374
8,84.7913133514
9,84.3863397957
10,102.313184307
11,101.654485315
12,99.9015306748
13,102.254247296
14,91.0121883698
15,80.699335474
16,86.1170027293
17,100.528330015
18,114.198955537
19,83.8087921859
0,101.024153891
1,97.3258550034
2,111.929947921
3,83.3312683372
4,88.357032238
5,102.724230495
6,87.9216382791
7,78.0399643261
8,83.8206325124
9,84.6792205144
10,101.834689499
11,101.037923995
12,99.3419615037
13,101.66350925
14,90.0978352424
15,79.5467957251
16,84.3537629106
17,99.5657756952
18,114.179411005
